id,cancel,year,zip.code,house.color,ni.age,len.at.res,credit,coverage.type,dwelling.type,premium,sales.channel,ni.gender,ni.marital.status,n.adults,n.children,tenure,claim.ind
1485,0,2013,80024,yellow,44,12,low,A,Condo,932.7934043,Broker,M,1,2,1,17,0
1605,0,2013,50008,red,81,10,low,C,House,964.5778381,Broker,F,1,1,2,17,1
1642,0,2013,85009,red,25,10,high,A,House,945.2144068,Broker,F,0,2,0,0,0
1649,0,2013,80014,yellow,34,12,high,B,House,821.7014362,Broker,F,1,4,1,8,0
1708,1,2014,50025,red,37,13,low,C,House,851.9775759,Broker,F,1,3,3,15,1
1738,0,2014,50029,white,46,13,high,A,House,847.2951108,Broker,F,1,1,1,9,0
1761,0,2014,80016,blue,37,16,medium,C,Condo,981.2018971,Broker,M,0,1,0,9,1
1884,0,2014,50059,white,41,13,high,A,House,885.2581786,Broker,M,1,1,1,22,0
1943,1,2014,98034,blue,30,14,high,A,Condo,868.1555362,Phone,M,1,4,0,3,0
1951,0,2014,15022,red,55,13,high,B,House,885.1334775,Phone,F,1,1,4,12,1
1963,1,2014,80016,white,39,16,low,C,House,842.9816465,Online,M,1,2,10,5,0
1965,0,2014,15052,red,30,12,high,C,Tenant,816.0341668,Broker,M,0,2,0,5,0
1968,0,2014,15054,blue,54,20,medium,C,House,785.4023139,Broker,M,1,3,1,9,0
1984,1,2014,85039,blue,43,10,high,B,Condo,910.4113087,Broker,F,1,1,4,20,0
2014,0,2014,80015,white,32,16,medium,A,House,919.4126459,Online,F,1,2,4,9,0
2086,1,2014,80106,red,34,15,high,B,Tenant,937.5991132,Phone,F,1,2,4,6,1
2111,1,2014,85054,red,20,19,low,A,House,826.0760794,Online,M,1,2,3,0,1
2224,1,2014,98024,white,45,19,high,A,House,771.5934779,Broker,M,1,1,1,13,1
2253,0,2014,15003,red,40,5,low,C,House,858.9367965,Broker,F,1,3,3,17,0
2271,1,2014,80016,white,33,12,high,A,House,885.6829234,Broker,F,0,3,0,8,0
2282,0,2014,50032,blue,36,13,high,B,Condo,830.5076618,Broker,M,0,3,1,7,0
2364,0,2014,15035,blue,47,27.23411624,high,A,House,1025.281395,Broker,F,1,1,3,11,0
2483,0,2014,85041,white,48,10,high,C,House,781.5883149,Broker,M,1,1,1,13,0
2542,1,2014,15035,white,44,17,high,A,Condo,825.0236092,Broker,M,1,2,5,22,0
2570,0,2014,50050,red,43,14,low,A,Condo,856.4744674,Phone,M,1,2,8,20,0
2615,0,2014,15022,white,53,45.91080057,high,C,House,876.171522,Broker,M,0,1,0,20,0
2637,0,2014,85037,blue,52,13,medium,C,House,904.9156383,Broker,F,1,1,1,19,0
2729,0,2014,15010,blue,61,11,high,C,Condo,973.2601636,Phone,F,1,1,0,9,1
2846,1,2014,80022,white,26,18,medium,B,Condo,1015.017046,Online,M,1,3,0,4,1
2949,0,2014,85023,white,47,14,high,C,Tenant,908.1905121,Broker,F,1,2,2,25,0
2961,1,2014,85071,white,38,13,high,A,House,915.5591929,Broker,F,1,3,1,17,0
2999,0,2014,15020,white,53,17,high,C,Tenant,779.1170529,Broker,F,0,3,0,14,1
3002,0,2014,80103,blue,61,20,high,C,House,1066.624021,Broker,F,1,2,7,21,1
3022,0,2014,85014,white,40,11,high,C,House,995.8059521,Broker,M,1,1,0,13,0
3037,1,2014,20120,blue,62,14,low,A,House,984.8777919,Broker,M,1,1,5,19,1
3153,0,2014,85077,white,52,15,high,C,Condo,871.5845291,Phone,M,0,1,0,18,1
3228,0,2014,50054,red,35,13,medium,B,House,898.0580016,Phone,M,0,1,0,9,0
3270,1,2014,85070,red,43,27,high,A,House,843.28938,Broker,F,1,6,2,17,0
3296,0,2014,15031,red,37,21,high,A,House,701.8902592,Broker,F,0,3,0,14,1
3315,0,2014,15035,blue,46,19,high,C,Tenant,857.8257554,Broker,M,1,2,2,13,0
3338,1,2014,80002,blue,51,12,high,C,House,907.2531959,Phone,M,0,1,0,14,0
3372,1,2014,85048,red,24,13,low,C,House,731.8737866,Phone,F,1,2,0,5,0
3397,0,2014,85075,white,57,16,medium,A,House,828.3144421,Broker,F,1,1,2,11,0
3440,0,2015,50047,white,43,13,low,C,House,806.6664714,Broker,M,0,3,2,10,0
3562,0,2015,15018,blue,41,16,high,A,House,876.250779,Broker,M,1,3,0,8,1
3599,1,2015,15022,red,40,15,high,A,House,980.1522613,Broker,M,1,4,4,13,0
3604,0,2015,85053,blue,50,16,medium,C,House,984.7106079,Broker,M,0,4,0,14,0
3643,0,2015,85028,yellow,42,16,high,C,House,880.5094459,Phone,M,1,5,0,8,0
3650,0,2015,85070,white,37,10,high,A,House,813.3852902,Broker,M,1,1,1,15,0
3688,1,2015,50032,red,52,12,medium,C,House,809.5407279,Phone,M,1,1,1,19,0
3721,1,2015,85014,red,30,19,high,A,Condo,971.3843236,Phone,F,0,1,0,6,0
3760,0,2015,80106,red,36,11,high,B,Tenant,1004.22402,Phone,F,1,5,2,7,0
3785,0,2015,15056,white,34,16,high,A,Tenant,912.1705452,Phone,M,0,3,0,8,0
3802,0,2015,15020,white,40,18,high,C,Tenant,854.808014,Broker,M,0,1,0,12,0
3807,0,2015,50001,white,45,17,high,A,House,811.3680374,Broker,F,1,2,11,13,0
3831,0,2015,85076,white,41,19,high,C,House,833.0258763,Online,F,0,4,0,10,0
3846,0,2015,50054,blue,30,11,high,C,House,853.0077938,Phone,F,1,1,1,5,0
3857,0,2015,98034,blue,55,10,medium,C,House,996.2860805,Broker,M,1,1,0,10,0
3863,0,2015,85039,blue,73,13,high,C,House,975.4850536,Broker,F,0,1,0,13,0
3909,1,2015,80037,red,24,16,medium,A,House,819.1999785,Online,F,1,1,3,6,0
3995,1,2015,50037,red,21,17,low,C,House,1054.200978,Phone,M,0,1,0,0,0
4007,0,2015,15001,white,48,21,high,C,Tenant,910.0382017,Broker,F,1,2,3,16,0
4015,0,2015,50051,white,41,14,high,C,Condo,967.4174254,Broker,F,0,2,0,10,0
4087,0,2015,50001,blue,61,28,high,B,House,815.4255271,Phone,F,1,3,1,14,1
4111,0,2015,15010,blue,40,14,high,A,Tenant,874.4476797,Broker,F,1,2,1,12,0
4119,0,2015,85002,yellow,36,19,high,B,House,816.2140819,Broker,F,1,2,3,3,0
4136,0,2015,20158,blue,51,19,high,C,House,936.882395,Broker,M,1,2,0,22,0
4197,0,2015,85011,blue,57,17,medium,C,House,942.3432466,Broker,F,1,1,0,15,0
4275,0,2015,50055,white,46,14,high,A,House,850.9066984,Broker,F,0,4,0,14,0
4311,0,2015,50047,red,29,16,low,C,Tenant,968.9712524,Broker,F,0,1,0,5,0
4344,0,2015,15046,white,55,18,high,A,House,905.1946569,Broker,F,0,4,0,9,0
4357,1,2015,85063,red,45,20,low,C,House,895.0429467,Phone,F,1,2,4,17,0
4390,0,2015,80006,white,41,12,high,C,Tenant,952.9516791,Phone,F,1,2,1,16,0
4427,1,2015,20136,blue,33,20,high,B,Condo,915.5209417,Broker,F,1,1,5,7,1
4442,0,2015,98024,red,52,17,high,B,House,969.9580524,Phone,F,0,3,0,18,0
4443,0,2015,85040,blue,41,14,high,A,Condo,769.3883624,Broker,F,1,1,3,15,0
4447,0,2015,15010,blue,52,8,medium,C,House,852.9314106,Broker,F,0,1,2,13,1
4550,0,2015,20135,white,50,18,high,A,Tenant,1015.508921,Phone,F,0,1,0,18,0
4559,0,2015,15009,blue,33,15,high,A,House,853.3684077,Broker,M,0,4,0,2,0
4626,0,2015,15025,white,51,17,medium,A,House,794.4714956,Online,F,1,2,0,5,0
4643,0,2015,20129,blue,45,14,high,A,House,854.2512932,Broker,M,1,2,3,16,1
4657,0,2015,98022,red,77,24.1544846,low,A,House,903.1104663,Broker,M,1,2,1,13,0
4665,1,2015,50021,white,28,15,high,C,Tenant,798.1322175,Phone,M,1,2,2,6,1
4706,0,2015,15010,white,26,13,low,B,Condo,913.2526497,Broker,F,1,2,2,1,0
4716,1,2015,20118,white,27,20,medium,C,Condo,910.5634775,Broker,M,1,1,1,8,0
4739,1,2015,85031,yellow,36,19,medium,C,House,929.7856239,Broker,M,1,3,0,5,0
4781,1,2015,85069,white,40,14,medium,A,Condo,1013.770103,Phone,M,1,2,1,15,0
4803,0,2015,80031,white,26,12,high,B,House,933.443879,Phone,M,0,1,0,0,0
4805,0,2015,80012,blue,50,17,high,C,Tenant,1018.950423,Broker,M,0,1,0,12,0
4857,0,2015,80011,yellow,61,15,medium,B,House,773.8671382,Phone,M,0,3,0,8,0
4868,1,2015,85070,red,34,12,medium,C,House,773.6632273,Broker,F,1,5,6,9,0
4933,1,2015,50054,blue,48,17,high,A,House,965.2112312,Phone,F,0,3,1,12,0
5017,0,2015,80021,blue,23,17,medium,C,House,958.8896357,Online,F,1,1,1,3,0
5086,0,2015,20109,white,44,18,high,B,Tenant,911.0683295,Broker,M,1,1,2,16,0
5089,0,2015,80003,red,43,17,low,A,House,1013.177511,Broker,M,1,4,4,16,0
5106,0,2015,50025,white,72,10,high,C,House,872.996056,Broker,F,1,1,5,13,0
5322,0,2015,85014,red,50,16,high,B,Condo,837.9891963,Phone,F,1,1,9,15,0
5359,0,2015,85017,blue,45,19,high,A,House,929.46696,Online,F,1,2,3,19,0
5373,0,2015,15009,blue,37,18,high,C,Tenant,743.3038799,Phone,M,1,1,2,0,0
5393,0,2015,20147,red,32,10,high,C,House,950.6109452,,M,0,2,0,3,0
5427,0,2016,85033,red,46,11,low,B,Tenant,770.5280275,Broker,F,1,2,2,20,0
5550,0,2016,20118,white,70,20,high,B,House,840.4340053,Broker,F,0,1,0,16,0
5780,1,2016,50051,blue,56,15,high,B,House,908.8685513,Phone,F,1,2,2,22,0
5887,0,2016,50025,blue,50,17,high,A,Tenant,882.3350627,Broker,M,0,1,0,16,0
5895,1,2016,50009,red,45,15,high,C,House,918.4121058,Phone,M,0,2,0,18,0
6016,1,2016,80037,yellow,55,15,high,C,Tenant,852.1772098,Online,M,1,4,1,18,0
6030,0,2016,85065,white,45,21,low,A,Condo,797.5729956,Phone,F,1,3,0,15,1
6056,0,2016,98004,red,51,14,high,C,Condo,817.2408205,Phone,M,0,1,0,17,0
6077,0,2016,50046,blue,58,13,medium,B,House,842.8592222,Phone,M,1,1,4,15,0
6082,0,2016,98022,yellow,38,14,high,B,House,848.2333709,Broker,M,1,2,1,19,0
6095,0,2016,85011,blue,47,16,high,A,Tenant,999.9248373,Broker,F,1,1,2,16,0
6143,0,2016,15017,white,38,21,medium,A,House,896.755693,Broker,M,1,2,6,9,0
6192,0,2016,98025,red,29,12,high,C,Condo,866.1042717,Broker,M,1,4,0,3,0
6199,0,2016,85014,blue,45,13,high,C,Tenant,936.8940321,Phone,F,1,1,2,12,0
6200,1,2016,50047,white,40,12,high,A,Condo,858.2398528,Broker,M,1,2,1,17,1
6210,0,2016,85026,white,33,12,high,C,Condo,1005.530094,Broker,M,1,1,0,3,0
6238,0,2016,50041,blue,48,20,low,B,Tenant,724.9814633,Broker,F,1,3,0,14,0
6289,0,2016,50025,white,61,14,high,A,House,829.5403538,Broker,F,1,3,1,14,1
6292,0,2016,50011,white,45,17,high,A,Condo,919.997386,Broker,M,1,4,6,7,0
6337,1,2016,98002,blue,42,17,high,B,Tenant,872.1870981,Broker,M,1,5,0,18,0
6358,0,2016,15052,white,35,17,high,C,Tenant,924.4160191,Broker,M,1,1,0,7,1
6367,0,2016,50036,red,50,21,high,A,Tenant,835.1626131,Phone,F,1,1,3,7,0
6410,0,2016,50050,red,51,17,high,A,Condo,868.2675011,Broker,F,0,3,0,17,0
6497,0,2016,85037,yellow,51,12,high,C,Condo,899.0291222,Broker,M,1,1,2,10,0
6545,0,2016,98034,white,42,11,high,C,House,795.89148,Phone,F,1,4,3,15,1
6547,0,2016,50012,blue,22,18,high,A,House,854.8136776,Online,F,1,3,1,4,0
6567,0,2016,50047,red,32,13,medium,A,House,799.3691088,Phone,M,1,1,2,9,0
6574,0,2016,80022,yellow,41,21,medium,A,Tenant,911.3695395,Broker,M,1,1,1,12,0
6577,0,2016,85017,white,50,14,high,A,House,987.0889737,Phone,F,1,3,1,11,0
6583,0,2016,80012,white,52,10,low,B,House,969.3383249,Broker,F,1,1,1,14,1
6665,0,2016,50050,white,33,15,high,B,Tenant,882.6300211,Phone,M,1,2,1,4,0
6667,1,2016,20149,white,37,10,high,C,Tenant,797.6102064,Online,M,0,1,0,17,0
6682,0,2016,98007,red,46,25,high,B,Condo,942.0328582,Broker,F,1,3,3,9,0
6686,0,2016,50026,red,45,22,high,C,Tenant,878.5452165,Broker,M,0,3,0,9,0
6760,0,2016,50047,white,54,15,high,C,House,929.7163754,Broker,F,0,1,0,24,0
6787,0,2016,85078,yellow,48,21,high,B,House,879.5524159,Phone,M,1,1,5,15,0
6831,0,2016,80003,yellow,55,15,high,B,House,948.7448824,Broker,M,1,2,0,16,0
6848,0,2016,20131,white,38,12,high,A,Tenant,853.4706625,Broker,M,1,1,0,9,0
6872,0,2016,98028,blue,41,29.7273088,low,B,House,987.3373012,Broker,M,1,3,1,14,0
6881,0,2016,80006,blue,33,15,high,C,House,815.3192854,Online,M,0,1,0,2,0
6907,0,2016,50037,yellow,22,11,low,B,Condo,865.9715805,Online,F,0,1,0,0,0
6956,1,2016,85031,red,30,15,low,C,Tenant,926.5939763,Phone,M,1,1,0,5,0
7123,1,2016,50057,white,40,16,high,B,Tenant,1019.147,Broker,F,0,1,0,16,0
7280,0,2016,80108,white,36,15,high,B,Condo,800.0149629,Online,M,1,4,2,2,0
7303,0,2016,50047,white,48,13,high,C,Condo,916.0838551,Phone,F,0,1,0,13,0
7384,0,2016,50011,white,37,8,low,B,House,881.8957086,Broker,M,1,1,4,15,0
7408,0,2016,85033,blue,54,10,high,C,Tenant,786.7908978,Broker,M,0,2,0,18,1
7424,0,2016,80021,blue,39,15,high,A,Condo,849.2245477,Phone,F,1,2,0,19,0
7457,0,2016,85070,yellow,46,22,medium,A,Condo,961.6838286,Broker,F,1,2,0,12,1
7459,0,2016,85010,red,43,15,low,C,House,1012.033079,Broker,M,1,2,1,14,0
7461,0,2016,50051,blue,36,12,high,C,Condo,807.4588644,Broker,M,1,1,9,5,0
7477,0,2016,15022,blue,39,19,medium,B,Condo,956.6325155,Broker,M,1,3,2,14,0
7536,0,2016,50008,red,68,15,high,C,House,888.3189494,Phone,M,1,1,0,13,0
7628,0,2013,50029,white,42,16,medium,C,House,929.7380946,Phone,F,1,1,0,12,0
7758,0,2013,50041,red,42,21,low,A,Condo,897.3623562,Broker,M,1,1,0,18,0
7869,0,2013,20111,white,41,26.79813406,medium,C,House,766.2066008,Phone,F,1,1,2,12,0
7878,1,2013,98008,yellow,29,12,low,C,Tenant,1027.322454,Broker,M,0,2,0,7,1
7888,0,2013,50009,blue,55,19,high,C,House,874.1161675,Broker,M,1,5,1,11,0
7951,1,2013,50021,red,23,12,low,A,Condo,914.0148263,Online,M,1,1,6,4,0
7960,1,2013,20151,red,23,14,medium,B,House,831.6662622,Online,M,1,2,4,3,0
8286,1,2013,50041,blue,70,12,low,C,House,984.416944,Phone,M,1,1,7,13,1
8407,1,2013,80044,red,59,12,high,C,House,839.2751121,Phone,F,1,1,2,14,0
8408,0,2013,50022,red,44,18,high,A,House,868.9804359,Phone,F,1,2,1,17,0
8435,0,2013,80018,yellow,22,16,high,A,House,884.9885485,Phone,M,1,4,0,0,0
8445,1,2013,98007,white,43,11,high,C,Tenant,934.9042715,Phone,F,1,1,4,14,0
8446,0,2013,98009,yellow,48,19,high,C,Tenant,997.8347917,Broker,M,1,2,3,11,0
8467,0,2013,80005,white,31,11,high,C,Tenant,880.7439893,Broker,F,0,1,1,6,0
8476,1,2013,85027,white,51,13,medium,B,Condo,1015.057229,Broker,M,1,3,3,15,1
8546,0,2013,80036,white,41,14,high,A,Tenant,940.1559549,Broker,M,1,2,0,15,0
8560,0,2013,80040,white,44,11,high,B,Tenant,847.4509437,Phone,M,0,5,0,12,0
8585,0,2013,50006,blue,40,12,high,C,House,853.4322066,Broker,F,0,3,0,12,0
8604,0,2013,50044,yellow,41,20,high,C,House,936.8714073,Phone,F,1,2,0,17,0
8674,0,2013,85036,white,28,15,high,B,Tenant,1034.429996,Online,M,1,4,0,5,0
8690,1,2013,15006,red,37,14,medium,B,Tenant,895.7532145,Broker,M,1,1,5,16,0
8729,0,2013,85042,white,47,20,high,B,Tenant,887.2042834,Broker,F,1,1,2,11,0
8745,0,2013,80042,red,43,13,medium,A,House,946.6481769,Broker,M,1,3,0,17,0
8755,0,2013,80030,white,28,10,medium,C,House,990.13948,Broker,M,0,2,1,1,1
8901,0,2013,85042,blue,55,11,high,A,House,954.2890642,Phone,F,1,3,1,15,0
8937,1,2013,15012,blue,36,19,low,A,House,1064.822516,Broker,M,0,2,0,2,1
8955,0,2013,80015,white,30,17,medium,A,House,932.4324842,Broker,M,0,3,0,6,0
8958,0,2013,20109,white,57,13,high,C,House,870.4284467,Phone,M,0,3,2,20,0
8960,0,2013,15010,red,37,21,high,A,House,814.1358664,Phone,F,1,1,0,13,0
8989,0,2013,50059,red,39,12,high,A,House,880.7817642,Broker,M,0,1,0,13,0
8992,0,2013,20149,blue,34,16,high,C,Tenant,875.5821985,Broker,M,1,5,1,4,0
9007,1,2013,50011,red,48,4.726446453,medium,C,Condo,950.8668587,Broker,F,1,1,1,23,0
9048,1,2013,50020,white,43,17,low,C,House,932.2184848,Phone,F,1,1,5,16,1
9083,0,2013,15001,red,67,12,high,B,Condo,842.9120377,Phone,M,1,1,1,10,0
9176,0,2013,50009,blue,67,21,high,A,House,,Broker,F,1,5,1,15,0
9211,1,2014,98027,red,49,10,medium,C,Condo,831.4671567,Broker,M,1,2,1,19,0
9248,1,2014,50043,white,43,14,low,B,Tenant,823.6354553,Broker,M,0,3,2,18,1
9275,0,2014,15057,white,65,19,low,C,House,751.2947666,Online,M,1,1,5,18,1
9483,0,2014,80047,white,47,38.52006485,high,B,Condo,822.1309874,Broker,F,0,1,0,15,0
9590,1,2014,85067,yellow,32,19,low,A,Tenant,848.8634609,Phone,F,0,4,1,2,0
9635,0,2014,80018,blue,35,49.84516045,high,C,Condo,905.8969551,Online,F,1,3,0,6,1
9654,1,2014,85078,white,51,14,high,A,Condo,871.198452,Phone,F,0,2,0,17,1
9697,0,2014,85026,yellow,33,13,low,A,Condo,839.3121196,Broker,F,1,1,3,5,0
9732,1,2014,50006,white,63,10,low,A,House,811.8862435,Broker,F,1,1,3,11,0
9833,0,2014,50028,blue,54,18,high,C,House,993.5754115,Broker,F,1,1,1,11,0
9837,0,2014,85079,red,43,13,high,A,Condo,870.2777728,Broker,F,0,1,0,20,0
9858,0,2014,85017,red,45,8,high,C,House,791.9135913,Broker,M,1,3,1,18,0
9922,1,2014,15001,white,41,24,high,C,House,888.8069273,Online,F,0,2,0,12,1
9950,0,2014,15057,white,25,14,high,B,House,760.7608025,Broker,M,1,2,2,3,0
9965,0,2014,50022,red,71,9,high,C,House,861.8048457,Broker,M,1,3,2,14,0
10002,1,2014,20103,blue,48,13,high,A,House,872.674517,Phone,M,0,1,0,16,0
10036,0,2014,80018,white,71,16,medium,B,House,844.7648752,Broker,M,1,3,1,12,0
10079,1,2014,80012,white,41,15,high,C,Condo,844.7961827,Broker,M,0,1,2,13,0
10116,0,2014,80001,blue,26,14,medium,A,House,781.0166766,Broker,M,0,1,1,3,0
10120,1,2014,15004,white,43,19,high,B,Tenant,834.0762122,Phone,M,1,6,1,11,0
10177,0,2014,50021,yellow,49,18,high,C,Condo,968.9098535,Broker,F,0,1,0,17,0
10178,1,2014,50047,white,47,10,high,B,House,995.0153166,Broker,F,1,4,1,21,0
10223,0,2014,85011,red,62,10,high,C,House,926.4418001,Broker,M,1,1,1,10,0
10333,0,2014,15001,white,67,15,high,A,House,949.9737695,Phone,F,1,2,0,22,0
10366,1,2014,15030,white,56,13,low,A,Tenant,854.2312522,Broker,F,0,4,0,17,1
10409,0,2014,20140,blue,37,15,high,C,House,1043.383637,Broker,M,1,1,0,15,0
10437,0,2014,50014,blue,63,22,high,C,Tenant,895.9913111,Broker,M,0,1,0,16,0
10450,1,2014,85073,white,48,20,low,A,House,972.7737006,Phone,M,0,3,,18,1
10540,0,2014,85012,white,64,14,high,A,House,981.8470051,Online,F,1,5,0,15,0
10579,0,2014,50009,white,43,14,medium,A,House,907.9573989,Broker,F,1,6,1,16,0
10583,0,2014,50025,blue,44,15,high,C,House,900.4960273,Broker,M,1,3,2,12,0
10600,0,2014,50006,white,41,11,high,A,House,971.919676,Broker,M,1,1,0,17,0
10615,1,2014,85033,white,50,10,high,A,Condo,1038.920731,Broker,F,1,1,0,14,0
10625,1,2014,50011,red,37,20,medium,C,House,924.0586085,Broker,M,1,5,5,17,0
10692,0,2014,85017,white,57,39.35964783,high,B,House,894.4413925,Broker,F,1,1,3,13,0
10698,0,2014,15035,red,42,12,high,B,Tenant,915.305202,Broker,F,0,2,0,16,0
10734,1,2014,50021,white,51,14,high,A,House,847.3320357,Online,M,1,1,7,18,0
11150,0,2015,85043,red,43,19,high,A,House,770.0328108,Broker,M,1,1,1,17,0
11204,0,2015,85017,blue,51,20,high,A,House,915.2130885,Broker,M,0,4,1,15,0
11216,0,2015,50051,red,47,16,low,A,House,1023.692398,Broker,F,1,1,2,19,0
11219,0,2015,15010,yellow,26,21,low,C,House,859.7871534,Broker,F,1,2,2,5,0
11304,0,2015,50012,red,34,13,medium,A,Condo,1033.896037,Broker,M,1,1,0,5,0
11331,0,2015,15012,blue,38,29.6920547,high,C,Condo,941.1990284,Broker,F,1,1,0,15,0
11368,0,2015,50012,white,49,11,high,A,Tenant,908.4693126,Phone,M,0,5,0,16,0
11369,0,2015,50008,white,48,18,high,A,Condo,793.9869232,Phone,F,1,4,2,17,0
11408,0,2015,50014,white,33,24,medium,B,House,924.7941617,Broker,M,1,2,2,3,0
11436,1,2015,50020,red,30,11,medium,A,House,884.5409846,Broker,F,1,2,0,4,0
11438,1,2015,85014,white,61,10,medium,C,House,959.3770856,Broker,F,0,2,0,12,0
11464,0,2015,80030,blue,53,17,high,C,House,967.3577414,Broker,F,1,1,0,18,0
11465,0,2015,80002,red,32,12,medium,A,Tenant,980.6112709,Online,M,1,3,1,4,0
11489,0,2015,20106,white,47,15,high,B,House,1001.847771,Broker,M,1,1,3,18,0
11504,1,2015,50054,red,43,15,low,A,House,982.3060765,Phone,F,1,1,4,22,1
11508,1,2015,50048,red,54,21,high,A,Tenant,857.7832246,Phone,M,1,1,4,18,0
11525,0,2015,80035,red,45,18,high,C,Tenant,973.5671528,Broker,F,1,2,2,13,0
11532,0,2015,50012,blue,27,17,low,C,Tenant,853.8632858,Broker,M,1,3,1,4,0
11735,0,2015,98028,blue,56,18,high,A,House,952.4692898,Broker,M,1,3,2,21,0
11765,0,2015,80015,blue,56,10,high,C,House,915.6262439,Phone,F,1,3,11,21,0
11824,0,2015,80042,white,56,12,high,C,House,804.5806621,Broker,M,1,7,3,12,0
11840,0,2015,85063,white,62,13,high,A,House,875.0422564,Phone,M,1,3,1,12,0
11859,0,2015,80045,red,34,9,high,C,House,829.0228096,Broker,F,1,1,3,5,0
11868,0,2015,85027,white,32,24,high,B,House,935.642116,Broker,M,1,2,1,5,1
11876,0,2015,85053,red,51,9,high,B,Condo,846.8402598,Broker,M,1,1,0,14,0
11894,0,2015,85002,blue,45,20,high,B,House,804.3828545,Broker,M,1,2,0,17,0
